"","sub","model","rr","pu","omega","lambda","offset","bestfit"
"165","8es63ovt8uw2mgg","value_alt_offset",2,1,0.5,0.939654497725855,0.00025759780264667,"value_alt_offset"
"166","8es63ovt8uw2mgg","value_alt_offset",2,2,0.5,1.44032921810519,0.0470964791953752,"value_alt_offset"
"167","8es63ovt8uw2mgg","value_alt_offset",3,1,0.5,0.941929583922596,0.007028061436958,"value_alt_offset"
"168","8es63ovt8uw2mgg","value_alt_offset",3,2,0.5,1.20510084844868,-0.111111111111112,"value_alt_offset"
"169","8le0rzndxgpur8r","value_alt_offset",1,1,0.166666666666667,1.15425876444618,0.0777777759709553,"value_alt_offset"
"170","8le0rzndxgpur8r","value_alt_offset",1,2,0.5,3.6213991769549,0.00272654912711845,"perc_offset"
"171","8le0rzndxgpur8r","value_alt_offset",2,1,0.5,1.23456790123459,0.0324645633286298,"value_alt_offset"
"172","8le0rzndxgpur8r","value_alt_offset",2,2,0.5,9.99999999999935,0.00924589369276418,"perc_offset"
"173","8le0rzndxgpur8r","value_alt_offset",3,1,0.5,2.1575300734029,-0.0963060809818304,"value_alt_offset"
"174","8le0rzndxgpur8r","value_alt_offset",3,2,0.5,4.97942386831259,-0.00350556317211503,"perc_offset"
"175","96deaxjjts0yvax","value_alt_offset",1,1,0.5,9.99999999999935,0.00337083235569469,"value_alt_offset"
"176","96deaxjjts0yvax","value_alt_offset",1,2,0.5,9.99999999999935,0.00337083449114739,"value_alt_offset"
"177","96deaxjjts0yvax","value_alt_offset",2,1,0.166666666666667,9.99999999999983,-0.000555551406591914,"value_alt_offset"
"178","96deaxjjts0yvax","value_alt_offset",2,2,0.166666666666667,9.99999999999993,0.00277777769191978,"value_alt_offset"
"179","96deaxjjts0yvax","value_alt_offset",3,1,0.5,9.99999999999978,0.016223612231508,"perc_offset"
"180","96deaxjjts0yvax","value_alt_offset",3,2,0.5,9.99999999999993,0.0259458341290009,"perc_offset"
"181","9h1m4d4lp6ksfjt","value_alt_offset",1,1,0.166666666666667,1.26809776249834,-0.000555551412768973,"value_alt_offset"
"182","9h1m4d4lp6ksfjt","value_alt_offset",1,2,0.166666666666667,1.80663892301267,-0.026666668571,"value_alt_offset"
"183","9h1m4d4lp6ksfjt","value_alt_offset",2,1,0.166666666666667,1.23265110824703,0.0286111147675367,"value_alt_offset"
"184","9h1m4d4lp6ksfjt","value_alt_offset",2,2,0.166666666666667,1.99518372658912,-0.0897479241648127,"value_alt_offset"
"185","9h1m4d4lp6ksfjt","value_alt_offset",3,1,0.166666666666667,1.53246991797456,-0.0439065936959261,"value_alt_offset"
"186","9h1m4d4lp6ksfjt","value_alt_offset",3,2,0.166666666666667,1.64533568044949,-0.200999999204471,"value_alt_offset"
"187","9ho9tv1b4jdy3p6","value_alt_offset",1,1,0.166666666666667,1.51175630001334,0.041111114285959,"value_alt_offset"
"188","9ho9tv1b4jdy3p6","value_alt_offset",1,2,0.166666666666667,1.30138030679991,0.0761111116628768,"value_alt_offset"
"189","9ho9tv1b4jdy3p6","value_alt_offset",2,1,0.166666666666667,2.99259344283157,-0.0266666674238112,"value_alt_offset"
"190","9ho9tv1b4jdy3p6","value_alt_offset",2,2,0.166666666666667,3.48458093982393,-0.0988888931306194,"value_alt_offset"
"191","9ho9tv1b4jdy3p6","value_alt_offset",3,1,0.166666666666667,2.7074134558861,-0.417857146417614,"value_alt_offset"
"192","9ho9tv1b4jdy3p6","value_alt_offset",3,2,0.166666666666667,6.97838560595304,-0.00777777484384257,"value_alt_offset"
"193","9jfa3uck1pm1a27","value_alt_offset",1,1,0.166666666666667,1.89335945261863,0.0316666645544053,"value_alt_offset"
